word|partOfSpeech|chineseMeaning|synonyms|exampleSentence|source
abate|v.|减弱；缓和|subside,diminish,ease|The wind began to abate before the ferry left the harbor.|GRE Glance original development dataset
aberrant|adj.|异常的；偏离常规的|abnormal,atypical,deviant|Researchers treated the aberrant result as a reason to repeat the trial.|GRE Glance original development dataset
abeyance|n.|暂缓；搁置|suspension,dormancy,delay|The expansion plan remains in abeyance until funding is secured.|GRE Glance original development dataset
abhor|v.|憎恶|detest,loathe,despise|She abhors cruelty even when it is disguised as discipline.|GRE Glance original development dataset
abjure|v.|正式放弃；发誓弃绝|renounce,repudiate,forgo|The former leader publicly abjured violence and urged negotiation.|GRE Glance original development dataset
abstemious|adj.|有节制的|temperate,moderate,restrained|His abstemious habits surprised guests at the elaborate banquet.|GRE Glance original development dataset
abstruse|adj.|深奥难懂的|obscure,esoteric,arcane|A clear diagram made the abstruse argument easier to follow.|GRE Glance original development dataset
abrogate|v.|废除；取消|repeal,rescind,revoke|The court declined to abrogate the rule without legislative review.|GRE Glance original development dataset
accede|v.|同意；就任|assent,consent,agree|After weeks of debate, the committee acceded to the revised terms.|GRE Glance original development dataset
acerbic|adj.|尖刻的|caustic,biting,sarcastic|The critic's acerbic review overshadowed several thoughtful observations.|GRE Glance original development dataset
acquiesce|v.|默许；勉强同意|comply,submit,consent|Rather than acquiesce, the residents requested a public hearing.|GRE Glance original development dataset
acumen|n.|敏锐；洞察力|insight,shrewdness,sagacity|Her financial acumen helped the small museum survive the downturn.|GRE Glance original development dataset
adamant|adj.|坚定不移的|unyielding,insistent,resolute|He remained adamant that the raw data should be published.|GRE Glance original development dataset
admonish|v.|告诫；责备|reprimand,warn,rebuke|The editor admonished the writer to verify every quotation.|GRE Glance original development dataset
adroit|adj.|熟练巧妙的|skillful,deft,dexterous|An adroit mediator kept the tense discussion productive.|GRE Glance original development dataset
advocate|v.|主张；拥护|support,champion,promote|Several researchers advocate a cautious interpretation of the findings.|GRE Glance original development dataset
aesthetic|adj.|审美的|artistic,visual,tasteful|The renovation improved the building's aesthetic appeal without erasing its history.|GRE Glance original development dataset
affable|adj.|和蔼可亲的|amiable,genial,cordial|The affable host made even first-time visitors feel welcome.|GRE Glance original development dataset
aggrandize|v.|扩大权势；夸大|exalt,magnify,inflate|The biography does not aggrandize its subject or conceal his failures.|GRE Glance original development dataset
aggregate|v.|汇集；合计|combine,collect,amass|The study aggregates results from twelve independent laboratories.|GRE Glance original development dataset
alacrity|n.|欣然；敏捷|eagerness,promptness,readiness|She accepted the difficult assignment with unexpected alacrity.|GRE Glance original development dataset
alleviate|v.|缓解|relieve,mitigate,ease|Targeted grants could alleviate the shortage of rural clinics.|GRE Glance original development dataset
altruistic|adj.|利他的|selfless,benevolent,charitable|His altruistic decision brought him no personal advantage.|GRE Glance original development dataset
amalgamate|v.|合并|merge,combine,unite|The two archives will amalgamate their digital collections next year.|GRE Glance original development dataset
ambiguous|adj.|含糊的；多义的|unclear,equivocal,vague|The contract's ambiguous wording invited conflicting interpretations.|GRE Glance original development dataset
ambivalent|adj.|矛盾的；犹豫不决的|uncertain,conflicted,hesitant|Voters were ambivalent about a proposal that promised growth but raised costs.|GRE Glance original development dataset
ameliorate|v.|改善；减轻|improve,mitigate,relieve|New insulation should ameliorate the building's severe heat loss.|GRE Glance original development dataset
amenable|adj.|愿意接受的；可处理的|receptive,compliant,tractable|The director was amenable to changes supported by strong evidence.|GRE Glance original development dataset
anachronistic|adj.|时代错置的；过时的|outdated,antiquated,obsolete|The policy now seems anachronistic in a largely digital economy.|GRE Glance original development dataset
analogous|adj.|类似的|comparable,similar,parallel|The two cases are analogous but not identical in every detail.|GRE Glance original development dataset
anodyne|adj.|温和无害的；乏味的|inoffensive,bland,soothing|The candidate offered an anodyne statement that pleased no one and offended no one.|GRE Glance original development dataset
anomaly|n.|异常现象|irregularity,aberration,exception|One anomaly in the survey prompted a careful review of the sample.|GRE Glance original development dataset
antipathy|n.|强烈反感|aversion,hostility,distaste|His antipathy toward bureaucracy shaped every reform he proposed.|GRE Glance original development dataset
apathy|n.|冷漠；缺乏兴趣|indifference,listlessness,detachment|Public apathy allowed the neglected park to deteriorate further.|GRE Glance original development dataset
apocryphal|adj.|真实性可疑的|dubious,unverified,legendary|The apocryphal tale persists because it captures the inventor's character.|GRE Glance original development dataset
appease|v.|安抚；平息|pacify,placate,mollify|A symbolic concession did little to appease the frustrated workers.|GRE Glance original development dataset
approbation|n.|赞许；认可|approval,praise,commendation|The proposal earned the approbation of several independent reviewers.|GRE Glance original development dataset
arbitrary|adj.|武断的；任意的|capricious,random,unreasoned|The deadline felt arbitrary because no practical constraint justified it.|GRE Glance original development dataset
arcane|adj.|晦涩神秘的|obscure,esoteric,abstruse|Only specialists understood the arcane notation in the manuscript.|GRE Glance original development dataset
archaic|adj.|古老过时的|antiquated,obsolete,outmoded|The archive preserves several archaic spellings in their original form.|GRE Glance original development dataset
ardent|adj.|热情的|passionate,fervent,zealous|An ardent defender of public libraries spoke at the hearing.|GRE Glance original development dataset
arduous|adj.|艰巨费力的|difficult,grueling,laborious|Restoring the damaged fresco was an arduous three-year project.|GRE Glance original development dataset
articulate|adj.|表达清晰的|eloquent,coherent,expressive|Her articulate explanation turned a technical dispute into a useful conversation.|GRE Glance original development dataset
artless|adj.|朴实自然的；不做作的|guileless,naive,unaffected|His artless account was more convincing than the polished advertisement.|GRE Glance original development dataset
ascetic|adj.|苦行的；极简的|austere,abstemious,spartan|The cabin's ascetic interior contained only a desk and a narrow bed.|GRE Glance original development dataset
assiduous|adj.|勤勉细致的|diligent,industrious,meticulous|Assiduous fieldwork revealed patterns missed by the earlier survey.|GRE Glance original development dataset
assuage|v.|缓和；减轻|ease,alleviate,soothe|Transparent reporting helped assuage concerns about the experiment.|GRE Glance original development dataset
audacious|adj.|大胆无畏的|bold,daring,intrepid|The architect proposed an audacious bridge with no central supports.|GRE Glance original development dataset
auspicious|adj.|吉利的；有希望的|promising,favorable,propitious|A strong opening weekend was an auspicious start for the festival.|GRE Glance original development dataset
austere|adj.|朴素严厉的|severe,spartan,stern|The judge's austere manner concealed a dry sense of humor.|GRE Glance original development dataset
autonomous|adj.|自治的；自主的|independent,self-governing,self-directed|Each research unit remains autonomous while sharing equipment and data.|GRE Glance original development dataset
avarice|n.|贪婪|greed,cupidity,rapacity|The novel portrays avarice as a force that isolates its victims.|GRE Glance original development dataset
aversion|n.|厌恶；反感|antipathy,distaste,dislike|Her aversion to needless ceremony made the meeting unusually brief.|GRE Glance original development dataset
aver|v.|断言|assert,declare,affirm|The witness averred that the document had been altered after signing.|GRE Glance original development dataset
banal|adj.|陈腐平庸的|trite,commonplace,hackneyed|The essay begins with a banal observation but develops a subtle argument.|GRE Glance original development dataset
belie|v.|掩饰；与表象矛盾|contradict,disguise,misrepresent|Her calm voice belied the urgency of the situation.|GRE Glance original development dataset
belligerent|adj.|好斗的；敌对的|hostile,combative,aggressive|A belligerent response made compromise less likely.|GRE Glance original development dataset
benign|adj.|良性的；温和无害的|harmless,gentle,favorable|What appeared to be a serious defect proved entirely benign.|GRE Glance original development dataset
bolster|v.|支持；增强|support,strengthen,reinforce|Independent measurements bolster the report's central conclusion.|GRE Glance original development dataset
bombastic|adj.|夸夸其谈的|pompous,grandiloquent,inflated|The speech was bombastic, but its policy proposals were surprisingly modest.|GRE Glance original development dataset
boon|n.|益处；恩惠|benefit,blessing,advantage|Reliable transit would be a boon to workers in outlying districts.|GRE Glance original development dataset
brazen|adj.|厚颜无耻的；明目张胆的|shameless,flagrant,audacious|The brazen attempt to suppress the report only drew more attention to it.|GRE Glance original development dataset
brevity|n.|简洁|conciseness,succinctness,terseness|The memo's brevity made its recommendation unusually clear.|GRE Glance original development dataset
burgeon|v.|迅速增长|expand,flourish,proliferate|Small workshops began to burgeon along the restored canal.|GRE Glance original development dataset
cacophony|n.|刺耳嘈杂声|discord,din,clamor|A cacophony of horns filled the street after the match.|GRE Glance original development dataset
candid|adj.|坦率的|frank,forthright,honest|Her candid assessment helped the team correct its mistakes early.|GRE Glance original development dataset
candor|n.|坦率|frankness,honesty,openness|The board appreciated his candor about the project's risks.|GRE Glance original development dataset
capricious|adj.|反复无常的|fickle,unpredictable,arbitrary|Capricious weather repeatedly delayed the mountain survey.|GRE Glance original development dataset
castigate|v.|严厉批评|rebuke,censure,berate|The report castigated officials for ignoring repeated safety warnings.|GRE Glance original development dataset
catalyst|n.|催化因素|stimulus,impetus,trigger|The unexpected discovery became a catalyst for wider collaboration.|GRE Glance original development dataset
caustic|adj.|尖酸刻薄的|acerbic,scathing,biting|His caustic remark ended what had been a constructive exchange.|GRE Glance original development dataset
censure|v.|严厉谴责|condemn,reprimand,rebuke|The ethics panel voted to censure the member for concealing evidence.|GRE Glance original development dataset
chicanery|n.|欺诈伎俩|deception,trickery,duplicity|Auditors found no evidence of financial chicanery in the bidding process.|GRE Glance original development dataset
chauvinism|n.|盲目优越感；沙文主义|jingoism,bias,prejudice|The essay challenges the cultural chauvinism common in earlier histories.|GRE Glance original development dataset
circumspect|adj.|谨慎周到的|cautious,prudent,wary|Investors remained circumspect despite the optimistic forecast.|GRE Glance original development dataset
clandestine|adj.|秘密的|covert,secret,surreptitious|The journalists uncovered a clandestine effort to influence the vote.|GRE Glance original development dataset
coalesce|v.|合并；联合|merge,unite,converge|Several neighborhood groups coalesced around a single proposal.|GRE Glance original development dataset
cogent|adj.|有说服力的|convincing,compelling,persuasive|The researcher offered a cogent explanation for the apparent discrepancy.|GRE Glance original development dataset
commensurate|adj.|相称的|proportionate,corresponding,equivalent|Compensation should be commensurate with the role's responsibilities.|GRE Glance original development dataset
complacent|adj.|自满的|smug,self-satisfied,unconcerned|Early success made the team complacent about emerging competitors.|GRE Glance original development dataset
compendium|n.|概要；汇编|collection,digest,anthology|The handbook is a useful compendium of local environmental data.|GRE Glance original development dataset
concede|v.|承认；让步|admit,yield,acknowledge|Even critics concede that the revised model predicts demand more accurately.|GRE Glance original development dataset
conciliatory|adj.|安抚调和的|pacifying,appeasing,diplomatic|A conciliatory message reopened negotiations after months of silence.|GRE Glance original development dataset
condescending|adj.|居高临下的|patronizing,supercilious,haughty|Her condescending tone weakened an otherwise sensible argument.|GRE Glance original development dataset
conjecture|n.|推测|speculation,surmise,hypothesis|Without the missing records, any account of the event remains conjecture.|GRE Glance original development dataset
connoisseur|n.|鉴赏家|expert,aficionado,authority|A seasoned connoisseur noticed the subtle difference in the two prints.|GRE Glance original development dataset
consensus|n.|共识|agreement,accord,unanimity|The panel reached a broad consensus without resolving every detail.|GRE Glance original development dataset
constrain|v.|限制；约束|restrict,limit,curb|Limited storage will constrain how much material the archive can accept.|GRE Glance original development dataset
contentious|adj.|有争议的；好争辩的|controversial,combative,disputatious|The council postponed a vote on the contentious zoning proposal.|GRE Glance original development dataset
contrite|adj.|悔恨的|remorseful,penitent,repentant|He sounded genuinely contrite when he apologized for the false accusation.|GRE Glance original development dataset
convoluted|adj.|错综复杂的|tangled,intricate,labyrinthine|A convoluted approval process delayed even routine repairs.|GRE Glance original development dataset
copious|adj.|大量的|abundant,ample,plentiful|The historian supported her claim with copious primary evidence.|GRE Glance original development dataset
corroborate|v.|证实；佐证|confirm,substantiate,verify|Satellite images corroborate the measurements collected on the ground.|GRE Glance original development dataset
credulous|adj.|轻信的|gullible,trusting,naive|Credulous readers shared the fabricated story without checking its source.|GRE Glance original development dataset
cryptic|adj.|晦涩难解的|enigmatic,obscure,mysterious|A cryptic note in the margin offered the only clue to the author's intent.|GRE Glance original development dataset
