word|partOfSpeech|chineseMeaning|synonyms|exampleSentence|source
aesthetic|adj.|审美的|artistic,visual,tasteful|The renovation improved the building's aesthetic appeal without erasing its history.|IELTS Glance original development dataset
aggregate|v.|汇集；合计|combine,collect,amass|The study aggregates results from twelve independent laboratories.|IELTS Glance original development dataset
alleviate|v.|缓解|relieve,mitigate,ease|Targeted grants could alleviate the shortage of rural clinics.|IELTS Glance original development dataset
archaic|adj.|古老过时的|antiquated,obsolete,outmoded|The archive preserves several archaic spellings in their original form.|IELTS Glance original development dataset
ardent|adj.|热情的|passionate,fervent,zealous|An ardent defender of public libraries spoke at the hearing.|IELTS Glance original development dataset
arduous|adj.|艰巨费力的|difficult,grueling,laborious|Restoring the damaged fresco was an arduous three-year project.|IELTS Glance original development dataset
articulate|adj.|表达清晰的|eloquent,coherent,expressive|Her articulate explanation turned a technical dispute into a useful conversation.|IELTS Glance original development dataset
burgeon|v.|迅速增长|expand,flourish,proliferate|Small workshops began to burgeon along the restored canal.|IELTS Glance original development dataset
catalyst|n.|催化因素|stimulus,impetus,trigger|The unexpected discovery became a catalyst for wider collaboration.|IELTS Glance original development dataset
caustic|adj.|尖酸刻薄的|acerbic,scathing,biting|His caustic remark ended what had been a constructive exchange.|IELTS Glance original development dataset
concede|v.|承认；让步|admit,yield,acknowledge|Even critics concede that the revised model predicts demand more accurately.|IELTS Glance original development dataset
constrain|v.|限制；约束|restrict,limit,curb|Limited storage will constrain how much material the archive can accept.|IELTS Glance original development dataset
dearth|n.|缺乏|scarcity,shortage,paucity|A dearth of reliable witnesses complicated the investigation.|IELTS Glance original development dataset
discern|v.|辨别；看出|detect,perceive,distinguish|Careful readers can discern a pattern beneath the apparent disorder.|IELTS Glance original development dataset
discrepancy|n.|差异；不一致|inconsistency,divergence,mismatch|A discrepancy between the two ledgers triggered a wider audit.|IELTS Glance original development dataset
dubious|adj.|可疑的；不确定的|doubtful,questionable,suspect|The committee rejected a claim based on dubious statistics.|IELTS Glance original development dataset
elicit|v.|引出；诱发|evoke,draw out,extract|Open questions often elicit more informative answers.|IELTS Glance original development dataset
eloquent|adj.|雄辩有感染力的|expressive,persuasive,articulate|Her eloquent defense of the library changed several votes.|IELTS Glance original development dataset
empirical|adj.|以观察实验为依据的|observational,evidence-based,experimental|The theory gained credibility after receiving strong empirical support.|IELTS Glance original development dataset
ephemeral|adj.|短暂的|transient,fleeting,momentary|Online attention can be intense but ephemeral.|IELTS Glance original development dataset
equivocal|adj.|模棱两可的|ambiguous,evasive,uncertain|His equivocal answer left both sides claiming victory.|IELTS Glance original development dataset
evade|v.|逃避；回避|avoid,elude,dodge|The spokesperson tried to evade the central question.|IELTS Glance original development dataset
exacerbate|v.|使恶化|worsen,aggravate,intensify|Delaying repairs will only exacerbate the damage.|IELTS Glance original development dataset
exasperate|v.|激怒；使恼火|irritate,infuriate,frustrate|Repeated delays began to exasperate commuters.|IELTS Glance original development dataset
expedient|adj.|权宜的；便利的|convenient,pragmatic,advantageous|The expedient solution reduced costs but created a larger problem later.|IELTS Glance original development dataset
fastidious|adj.|一丝不苟的；挑剔的|meticulous,exacting,scrupulous|A fastidious editor checked every date against the original records.|IELTS Glance original development dataset
fervent|adj.|热烈的|passionate,ardent,zealous|She remained a fervent advocate for open access to research.|IELTS Glance original development dataset
fickle|adj.|反复无常的|capricious,changeable,inconstant|The fashion industry is notoriously fickle.|IELTS Glance original development dataset
fluctuate|v.|波动|vary,oscillate,shift|Demand tends to fluctuate with the season.|IELTS Glance original development dataset
frugal|adj.|节俭的|thrifty,economical,sparing|Their frugal design used standard parts that were easy to replace.|IELTS Glance original development dataset
homogeneous|adj.|同质的|uniform,consistent,undifferentiated|The sample was too homogeneous to support broad conclusions.|IELTS Glance original development dataset
implicit|adj.|含蓄的；隐含的|implied,unspoken,inherent|The agreement contained an implicit promise of continued support.|IELTS Glance original development dataset
incongruous|adj.|不协调的|incompatible,inconsistent,jarring|The modern sign looked incongruous beside the ancient gate.|IELTS Glance original development dataset
insipid|adj.|乏味的；无味的|bland,dull,vapid|The adaptation turned a lively satire into an insipid romance.|IELTS Glance original development dataset
inundate|v.|淹没；使应接不暇|flood,overwhelm,deluge|The office was inundated with requests after the announcement.|IELTS Glance original development dataset
lucid|adj.|清晰易懂的|clear,coherent,intelligible|The essay offers a lucid account of a difficult theory.|IELTS Glance original development dataset
magnanimous|adj.|宽宏大量的|generous,noble,forgiving|The winner was magnanimous and praised her rival's campaign.|IELTS Glance original development dataset
malleable|adj.|可塑的；易受影响的|pliable,flexible,adaptable|The alloy is malleable enough to form without cracking.|IELTS Glance original development dataset
meticulous|adj.|一丝不苟的|careful,precise,fastidious|Meticulous records made the later audit straightforward.|IELTS Glance original development dataset
mitigate|v.|缓解|alleviate,lessen,ease|Shade trees can mitigate extreme heat in dense neighborhoods.|IELTS Glance original development dataset
